Codigo convenio;Sector;Convenio Colectivo;Territorio;Vigencia;Estado;Prorroga
28001575011982;Sanidad Privada;Establecimientos Sanitarios;Madrid;2023-2026;Activo;
29000565011981;Sanidad Privada;Establecimientos Sanitarios ;Malaga;2023-2026;Activo;
41001445011988;Sanidad Privada;Establecimientos Sanitarios ;Sevilla;2023-2025;Activo;29.12.2025
99017255012008;Servicios;Servicios de Prevención Ajenos;Nacional;2023-2024;Activo;
28009435011996;Hostelería;Hospedaje de Madrid;Madrid;2023-2026;Activo;
50000675011982;Industria;Siderometalurgia ;Zaragoza;2023-2026;Activo;
28003005011981;Oficinas;Oficinas y Despachos ;Madrid;2023-2026;Activo;
46001595011981;Limpieza;Limpieza de Edificios y Locales ;Valencia;2021-2025;Activo;
99012145012002;Servicios;Contact Center;Estatal;2023-2026;Activo;
